NLC,TLC,Station Name,Region,Local Authority,Constituency,OS Grid Easting,OS Grid Northing,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,SRS Code,SRS Description,NR Route,CRP Line Designation,Entries & Exits_Full,Entries & Exits_Reduced,Entries & Exits_Season,1617 Entries & Exits,1516 Entries & Exits,1617 Interchanges,Large station change flag,Small station change flag,Explanation of large change,Source for explanation of large change
6958,BCV,Bruce Grove,London,Haringey (London),Tottenham,533795,190110,London Overground,,,London Travelcard Area Station,D.02,Hackney Downs - Cheshunt / Enfield Town,Anglia,,207540,382818,510304,1100662,990150,,1,,,
7289,BDA,Brundall,East,Broadland,Broadland,632904,307967,Greater Anglia,,,,D.19,East Suffolk Line and Norfolk Branches,Anglia,,34556,46988,26658,108202,104734,701.7472,,,,
7006,BGA,Brundall Gardens,East,Broadland,Broadland,631470,308340,Greater Anglia,,,,D.19,East Suffolk Line and Norfolk Branches,Anglia,,5256,6806,2298,14360,12176,,1,,,
7290,BUC,Buckenham,East,Broadland,Broadland,635120,305650,Greater Anglia,,,,D.19,East Suffolk Line and Norfolk Branches,Anglia,,18,104,0,122,134,,,,,
7085,BUE,Bures,East,Braintree,Braintree,590310,233920,Greater Anglia,,,,D.18,Sudbury Branch,Anglia,Gainsborough Line,11340,16610,34888,62838,61586,,,,,
5483,BUG,Burgess Hill,South East,Mid Sussex,Mid Sussex,531625,118805,Govia Thameslink Railway,,,,B.02,Windmill Bridge Jcn - Brighton,South East,,238224,633644,935700,1807568,1890062,,,,,
3176,BNM,Burnham,South East,Slough,Slough,494008,181378,Great Western Railway,,,,J.02,Heathrow Airport Jcn - Reading,Western,,319812,376068,622096,1317976,1297344,,,,,
6873,BUU,Burnham-On-Crouch,East,Maldon,Maldon,594842,196511,Greater Anglia,,,,D.13,Shenfield - Southend / Southminster,Anglia,,47676,68336,133390,249402,261292,,,,,
5927,BUO,Bursledon,South East,Eastleigh,Eastleigh,448985,109585,South West Trains,,,,C.11,Cosham - St Denys / Eastleigh,Wessex,,21078,23930,15084,60092,64756,,,,,
7008,BSE,Bury St.Edmunds,East,St. Edmundsbury,Bury St. Edmunds,585300,265200,Greater Anglia,,,,D.07,Peterborough - Stowmarket,Anglia,,190412,330274,112676,633362,603518,347.6204,,,,
6913,BHK,Bush Hill Park,London,Enfield (London),Edmonton,533700,195400,London Overground,,,London Travelcard Area Station,D.02,Hackney Downs - Cheshunt / Enfield Town,Anglia,,326580,392778,318450,1037808,992280,,,,,
1395,BSH,Bushey,East,Watford,Watford,511818,195340,London Overground,,,,N.01,Euston - Rugby,London North Western,,532456,619536,320754,1472746,1457950,,,,,
5324,BXD,Buxted,South East,Wealden,Wealden,549688,123341,Govia Thameslink Railway,,,,B.10,Hurst Green - Uckfield,South East,,23386,37670,53120,114176,133062,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5689,BFN,Byfleet & New Haw,South East,Runnymede,Runnymede and Weybridge,505854,162285,South West Trains,,,,C.01,Waterloo - Woking,Wessex,,161216,112428,203462,477106,475420,,,,,
1439,CIR,Caledonian Road & Barnsbury,London,Islington (London),Islington South and Finsbury,530695,184363,London Overground,,,London Travelcard Area Station,E.03,Gospel Oak - Stratford,Anglia,,441754,586710,809478,1837942,1764760,,,,,
5682,CAM,Camberley,South East,Surrey Heath,Surrey Heath,487573,160441,South West Trains,,,,C.13,Outer Windsor Lines,Wessex,,165758,181740,98852,446350,472358,,,,,
7022,CBG,Cambridge,East,Cambridge,Cambridge,546195,257245,Greater Anglia,,,,D.05,Stansted - Ely,Anglia,,2456748,5527094,3441060,11424902,10954212,541285.6711,,,,
6962,CBH,Cambridge Heath,London,Tower Hamlets (London),Bethnal Green and Bow,534850,183240,London Overground,,,London Travelcard Area Station,D.01,Bethnal Green - Stansted Airport,Anglia,,153696,260538,351468,765702,646748,,1,,,
1440,CMD,Camden Road,London,Camden (London),Holborn and St. Pancras,529175,184185,London Overground,,,London Travelcard Area Station,E.03,Gospel Oak - Stratford,Anglia,,1204378,1816256,2237074,5257708,5120672,52155.7693,,,,
1659,ZCW,Canada Water,London,Southwark (London),Bermondsey and Old Southwark,535475,179475,London Underground,,,London Travelcard Area Station,n/a,East London Line,South East,,5527188,9638898,9849682,25015768,23643842,757.6204,,,,
5142,CST,Cannon Street,London,City and County of the City of London,Cities of London and Westminster,532620,180890,Network Rail,LONDON BR,,London Travelcard Area Station,A.03,London - Chislehurst,South East,,4409954,3645602,14604694,22660250,21242364,713964.1509,,,,
1441,CNN,Canonbury,London,Islington (London),Islington North,532380,185040,London Overground,,,London Travelcard Area Station,E.03,Gospel Oak - Stratford,Anglia,,781826,1285366,938190,3005382,2859228,482018.9631,,,,
5164,CBE,Canterbury East,South East,Canterbury,Canterbury,614645,157285,Southeastern,CANTERBURY BR,,,A.12,East Kent Routes,South East,,197983.558,602067.1392,260502.3404,1060553.038,1034102.09,15049.7178,,,,
5007,CBW,Canterbury West,South East,Canterbury,Canterbury,614552,158395,Southeastern,CANTERBURY BR,,,A.12,East Kent Routes,South East,,460720.442,1401048.861,606205.6596,2467974.962,2406421.91,107743.997,,,,
7292,CNY,Cantley,East,Broadland,Broadland,638140,303680,Greater Anglia,,,,D.19,East Suffolk Line and Norfolk Branches,Anglia,,7396,8780,7040,23216,21530,,,,,
1442,CPK,Carpenders Park,East,Three Rivers,South West Hertfordshire,511818,193404,London Overground,,,,N.11,Euston - Watford Junction (DC Lines),London North Western,,341904,583858,263294,1189056,1154092,,,,,
5405,CSH,Carshalton,London,Sutton (London),Carshalton and Wallington,527739,164861,Govia Thameslink Railway,,,London Travelcard Area Station,B.07,South Central Inner Suburban,South East,,378266,384562,533350,1296178,1430116,,,,,
5406,CSB,Carshalton Beeches,London,Sutton (London),Carshalton and Wallington,527531,163627,Govia Thameslink Railway,,,London Travelcard Area Station,B.07,South Central Inner Suburban,South East,,268022,313790,279390,861202,974434,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
3098,CBP,Castle Bar Park,London,Ealing (London),Ealing North,515850,181765,Great Western Railway,,,London Travelcard Area Station,J.08,Greenford Lines,Western,,55412,44460,52070,151942,188120,,1,,Greenford branch lines terminating at West Ealing not Paddington,https://web.archive.org/web/20161014155456/https://www.gwr.com/travel-updates/planned-engineering/greenford-line-alterations
5351,CAT,Caterham,South East,Tandridge,East Surrey,534120,155420,Govia Thameslink Railway,,,London Travelcard Area Station,B.11,Tattenham Corner and Caterham Lines,South East,,225468,240586,541472,1007526,1128196,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5077,CTF,Catford,London,Lewisham (London),Lewisham East,537260,173560,Govia Thameslink Railway,CATFORD BR,,London Travelcard Area Station,A.01,Victoria Lines,South East,,265100,279534,608530,1153164,1160754,66882.2126,,,,
5047,CFB,Catford Bridge,London,Lewisham (London),Lewisham East,537365,173600,Southeastern,CATFORD BR,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,,486800,634870,1427898,2549568,2402410,35124.1333,,,,
6874,CTH,Chadwell Heath,London,Redbridge (London),Ilford South,547650,187610,TfL Rail,,,London Travelcard Area Station,D.10,Liverpool Street - Shenfield,Anglia,,1026906,1367804,1489048,3883758,3673514,,,,,
7447,CFH,Chafford Hundred,East,Thurrock,Thurrock,558920,178770,c2c,,,,F.02,Tilbury Loop,Anglia,,988340,1185752,549518,2723610,2534474,,,,,
539,CFO,Chalfont & Latimer,South East,Chiltern,Chesham and Amersham,499647,197573,London Underground,,,,n/a,Metropolitan Line,London North Western,,348724,405502,77490,831716,822284,,,,,
7469,CHW,Chalkwell,East,Southend-on-Sea,Southend West,585303,185582,c2c,,,,F.01,Fenchurch Street - Shoeburyness,Anglia,,503780,322742,736396,1562918,1534620,,,,,
5836,CFR,Chandlers Ford,South East,Eastleigh,Winchester,443255,120655,South West Trains,,,,C.16,Redbridge / Eastleigh - Salisbury,Wessex,,78938,80322,70914,230174,224034,,,,,
7051,CWC,Chappel & Wakes Colne,East,Colchester,Harwich and North Essex,589770,228860,Greater Anglia,,,,D.18,Sudbury Branch,Anglia,Gainsborough Line,5016,17466,14926,37408,41420,,,,,
5097,CHG,Charing,South East,Ashford,Ashford,595005,149132,Southeastern,,,,A.05,Chislehurst - Ashford,South East,,16988,24404,33296,74688,72652,,,,,
5143,CHX,Charing Cross,London,City of Westminster (London),Cities of London and Westminster,530235,180455,Network Rail,LONDON BR,,London Travelcard Area Station,A.03,London - Chislehurst,South East,,5105212,9032928,15421506,29559646,28998152,3002833.389,,,,
3004,CBY,Charlbury,South East,West Oxfordshire,Witney,435230,219440,Great Western Railway,,,,J.11,Cotswolds Line,Western,,78360,122666,93732,294758,327518,,1,,,
5144,CTN,Charlton,London,Greenwich (London),Greenwich and Woolwich,541130,178385,Southeastern,,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,,306092,413582,776254,1495928,1683580,945658.7235,1,,London Bridge works,http://www.thameslinkprogramme.co.uk/key-dates-and-service-changes
5008,CRT,Chartham,South East,Canterbury,Canterbury,610683,155227,Southeastern,,,,A.12,East Kent Routes,South East,,20162,25628,15974,61764,62180,,,,,
5199,CTM,Chatham,South East,Medway,Chatham and Aylesford,575547,167608,Southeastern,,,,A.09,Gravesend / Swanley - Margate,South East,,520778,909328,1312694,2742800,2767892,77.8991,,,,
5352,CHE,Cheam,London,Sutton (London),Sutton and Cheam,524447,163336,Govia Thameslink Railway,,,London Travelcard Area Station,B.08,South Central Sutton Lines,South East,,281756,281740,415490,978986,1126420,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
1372,CED,Cheddington,South East,Aylesbury Vale,Buckingham,492232,218549,London Midland Trains,,,,N.01,Euston - Rugby,London North Western,,19654,24282,40112,84048,78208,,,,,
6836,CHM,Chelmsford,East,Chelmsford,Chelmsford,570552,207068,Greater Anglia,,,,D.11,Shenfield - Ipswich,Anglia,,1613544,1870486,5052938,8536968,8488146,57405.7738,,,,
5098,CLD,Chelsfield,London,Bromley (London),Orpington,546950,164020,Southeastern,,,London Travelcard Area Station,A.04,Chislehurst - Tonbridge,South East,,208422,100836,611280,920538,944166,,,,,
5553,CHY,Chertsey,South East,Runnymede,Runnymede and Weybridge,503825,166390,South West Trains,,,,C.13,Outer Windsor Lines,Wessex,,202772,123110,380760,706642,674418,,,,,
6814,CHN,Cheshunt,East,Broxbourne,Broxbourne,536647,202307,Greater Anglia,,,,D.01,Bethnal Green - Stansted Airport,Anglia,,663058,957502,639852,2260412,2247262,345497.3139,,,,
5582,CSN,Chessington North,London,Kingston upon Thames (London),Kingston and Surbiton,518400,164145,South West Trains,,,London Travelcard Area Station,C.07,Main Line Suburban Lines,Wessex,,154670,162010,235904,552584,561330,,,,,
5554,CSS,Chessington South,London,Kingston upon Thames (London),Kingston and Surbiton,517900,163300,South West Trains,,,London Travelcard Area Station,C.07,Main Line Suburban Lines,Wessex,,133652,124692,147442,405786,431898,,,,,
5200,CSW,Chestfield & Swalecliffe,South East,Canterbury,Canterbury,613615,166817,Southeastern,,,,A.09,Gravesend / Swanley - Margate,South East,,19220,31128,71894,122242,124720,,,,,
5255,CCH,Chichester,South East,Chichester,Chichester,485890,104320,Govia Thameslink Railway,,,,B.05,Brighton - Havant,South East,,560154,1158356,889574,2608084,3231354,26037.9736,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5009,CIL,Chilham,South East,Ashford,Ashford,607800,153700,Southeastern,,,,A.12,East Kent Routes,South East,,7454,18316,14548,40318,38320,,,,,
5296,CHL,Chilworth,South East,Guildford,Mole Valley,503130,147257,Great Western Railway,,,,C.08,Redhill - Guildford,Wessex,,9022,8526,9704,27252,26498,,,,,
6914,CHI,Chingford,London,Waltham Forest (London),Chingford and Woodford Green,539200,194610,London Overground,,,London Travelcard Area Station,D.04,Chingford Branch,Anglia,,593810,795420,673954,2063184,1918148,,,,,
5353,CHP,Chipstead,South East,Reigate and Banstead,Reigate,527685,158275,Govia Thameslink Railway,,,London Travelcard Area Station,B.11,Tattenham Corner and Caterham Lines,South East,,46188,45886,61216,153290,179110,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5099,CIT,Chislehurst,London,Bromley (London),Bromley and Chislehurst,543200,169400,Southeastern,,,London Travelcard Area Station,A.03,London - Chislehurst,South East,,348504,307362,537866,1193732,1204760,,,,,
5583,CHK,Chiswick,London,Hounslow (London),Brentford and Isleworth,520380,177220,South West Trains,,,London Travelcard Area Station,C.12,Inner Windsor Lines,Wessex,,314144,348546,408796,1071486,1122186,,,,,
3031,CHO,Cholsey,South East,South Oxfordshire,Wantage,458452,186039,Great Western Railway,,,,J.03,Reading - Didcot,Western,,47412,126378,107648,281438,275100,,,,,
546,CLW,Chorleywood,East,Three Rivers,South West Hertfordshire,502597,196090,London Underground,,,,n/a,Metropolitan Line,London North Western,,231656,263966,56752,552374,537576,,,,,
5319,CHH,Christ's Hospital,South East,Horsham,Horsham,514800,129200,Govia Thameslink Railway,,,,B.04,Three Bridges - Arundel Jcn,South East,,24440,56098,72188,152726,181970,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5121,CTK,City Thameslink,London,City and County of the City of London,Cities of London and Westminster,531690,181150,Govia Thameslink Railway,LONDON BR,,London Travelcard Area Station,B.14,Thameslink Routes,South East,,1740108,1202462,3396632,6339202,6340256,12008.4205,,,,
6850,CLT,Clacton,East,Tendring,Clacton,617600,215300,Greater Anglia,,,,D.16,Walton and Clacton Branches,Anglia,,123184,399624,301462,824270,804508,,,,,
5555,CLA,Clandon,South East,Guildford,Mole Valley,504560,152714,South West Trains,,,,C.07,Main Line Suburban Lines,Wessex,,62566,55848,104336,222750,222396,,,,,
5301,CLP,Clapham High Street,London,Lambeth (London),Vauxhall,529820,175710,London Overground,,,London Travelcard Area Station,A.01,Victoria Lines,South East,,490158,582704,1039144,2112006,2299688,,,,,
5595,CLJ,Clapham Junction,London,Wandsworth (London),Battersea,527200,175500,South West Trains,,,London Travelcard Area Station,C.01,Waterloo - Woking,Wessex,,6770332,10006592,13903842,30680766,32282220,27330398.24,,,,
6926,CPT,Clapton,London,Hackney (London),Hackney North and Stoke Newington,534780,186540,London Overground,,,London Travelcard Area Station,D.01,Bethnal Green - Stansted Airport,Anglia,,403086,627120,775524,1805730,1598734,,1,,,
5556,CLG,Claygate,South East,Elmbridge,Esher and Walton,515097,163755,South West Trains,,,,C.07,Main Line Suburban Lines,Wessex,,154932,151954,386866,693752,695010,,,,,
5048,CLK,Clock House,London,Bromley (London),Lewisham West and Penge,536370,169550,Southeastern,,,London Travelcard Area Station,A.07,Dartford Lines to Gravesend and Hayes Branch,South East,,302068,282746,572426,1157240,1154194,3.2614,,,,
5557,CSD,Cobham & Stoke D'abernon,South East,Elmbridge,Esher and Walton,512341,158897,South West Trains,,,,C.07,Main Line Suburban Lines,Wessex,,193270,194294,241852,629416,623248,,,,,
6861,COL,Colchester,East,Colchester,Colchester,599100,226417,Greater Anglia,COLCHESTER BR,,,D.11,Shenfield - Ipswich,Anglia,,591884.3104,1500023.523,2383673.218,4475581.051,4460848.129,525810.7786,,,,
6853,CET,Colchester Town,East,Colchester,Colchester,600000,224865,Greater Anglia,COLCHESTER BR,,,D.16,Walton and Clacton Branches,Anglia,,102487.6896,259736.4766,412744.7825,774968.9487,772417.8705,355.144,,,,
5457,CLL,Collington,South East,Rother,Bexhill and Battle,573153,107296,Govia Thameslink Railway,,,,B.06,Brighton / Wivelsfield - Seaford / Hastings,South East,,35406,51330,62676,149412,223718,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
3005,CME,Combe,South East,West Oxfordshire,Witney,441850,215060,Great Western Railway,,,,J.11,Cotswolds Line,Western,,1270,108,630,2008,1460,,,1,,
5458,COB,Cooden Beach,South East,Rother,Bexhill and Battle,570992,106566,Govia Thameslink Railway,,,,B.06,Brighton / Wivelsfield - Seaford / Hastings,South East,,13096,48570,23520,85186,122668,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
3019,COO,Cookham,South East,Windsor and Maidenhead,Maidenhead,488690,185060,Great Western Railway,,,,J.13,Marlow Branch,Western,,48684,67056,100596,216336,217826,,,,,
5336,CBR,Cooksbridge,South East,Lewes,Lewes,540077,113474,Govia Thameslink Railway,,,,B.06,Brighton / Wivelsfield - Seaford / Hastings,South East,,6636,4482,25940,37058,45374,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
5896,CSA,Cosham,South East,City of Portsmouth,Portsmouth North,465765,105125,South West Trains,,,,G.20,Cosham - St Denys / Eastleigh,Wessex,,320244,386452,175122,881818,967946,,,,,
5408,CDS,Coulsdon South,London,Croydon (London),Croydon South,529870,159060,Govia Thameslink Railway,,,London Travelcard Area Station,B.02,Windmill Bridge Jcn - Brighton,South East,,314494,360276,596646,1271416,1616746,,1,,Southern industrial action and timetable changes,https://www.rmt.org.uk/news/new-southern-strike-dates-announced/
